txtDescricaoModalidade,codEmpresa,codTipoContratacao,valReajustes,codProcesso,codModalidade,datVigencia,datAssinaturaContrato,valAditamentos,codContrato,valLiquidado,codOrgao,valPago,valAnulacao,valEmpenhadoLiquido,valTotalEmpenhado,anoContrato,numOriginalContrato,txtDescricaoOrgao,valAnuladoEmpenho,datPublicacaoContrato,txtRazaoSocial,valPrincipal,txtTipoContratacao,txtObjetoContrato,coletado
Inexigibilidade,19.0,30,0.0,115852020,7,,,0.0,2,0.0,10.0,0.0,0.0,576000.0,576000.0,2021,,Tribunal de Contas do Município de São Paulo,0.0,,TRIBUNAL DE CONTAS DO MUNICÍPIO DE SÃO PAULO,576000.0,Nota de Empenho para Fornecimento de Serviços,"Fornecimento de água e serviços de esgoto a este TCMSP (E. Sede, anexos I, II, III e Escola de Contas), durante o exercício de 2021.",07/03/21
Inexigibilidade,22.0,5,0.0,4882020,7,30/12/2020,,0.0,2,9741.0,76.0,0.0,0.0,9741.0,9741.0,2021,,Fundo Especial de Despesas da Câmara Municipal de São Paulo,0.0,,Fundo Especial de Despesas da Câmara,9741.0,Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente,Renovação de assinaturas de periódicos do IOB,07/03/21
Inexigibilidade,23.0,30,0.0,137332020,7,12/01/2022,,0.0,2,23585.0,77.0,23585.0,0.0,23585.0,47170.0,2021,,Fundo Especial de Despesas do Tribunal de Contas ,23585.0,,FUNDO ESPECIAL DE DESPESAS DO TCMSP,23585.0,Nota de Empenho para Fornecimento de Serviços,"Renovação da assinatura na modalidade digital dos periódicos Fórum Administrativo - Direito Público – FA, Fórum de Contratação e Gestão
Pública - FCGP e Revista Brasileira de Direito Municipal - RBDM.",07/03/21
Não Aplicável,29.0,6,0.0,7210202000019658,8,12/04/2021,12/01/2021,0.0,2,132.0,6.0,132.0,0.0,132.0,132.0,2021,CCO0002/2021,São Paulo Turismo,0.0,,SÃO PAULO TURISMO,132.0,Ordem de Compra,"Aquisição de álcool gel em atendimento ao evento ""Rec Beat Recife - São Paulo""",07/03/21
Não Aplicável,30.0,2,0.0,7810202000011462,8,26/01/2022,26/01/2021,0.0,2,0.0,5.0,0.0,0.0,0.0,0.0,2021,7810.2020/0001146-2,São Paulo Urbanismo,0.0,04/02/2021,SÃO PAULO URBANISMO,11800.0,Termo de Contrato - Serviços,"Prestação de serviços de avaliação ao valor de mercado dos imóveis de propriedade da SÃO PAULO URBANISMO - SPUrbanismo abrangendo os terrenos e as benfeitorias, em conformidade com as condições do Edital e seu Anexo I, que passa a fazer parte integrante deste contrato, independentemente de sua transcrição.",07/03/21
Não Aplicável,83.0,30,0.0,7610202100000384,8,30/12/2021,,0.0,2,0.0,83.0,0.0,0.0,5000.0,5000.0,2021,,Companhia Metropolitana de Habitação de São Paulo,0.0,,COMPANHIA METROPOLITANA DE HABITAÇÃO DE SÃO PAULO,5000.0,Nota de Empenho para Fornecimento de Serviços,"para pagamento de registros dos termos de penhora, consulta de bens imóveis em relação a terceiros e cópia de matrículas,",07/03/21
Inexigibilidade,85.0,50,0.0,8510202100000251,7,29/06/2021,,0.0,2,1375.91,85.0,0.0,0.0,9238.27,9238.27,2021,,Fundação Theatro Municipal de São Paulo,0.0,,FUNDAÇÃO THEATRO MUNICIPAL DE SÃO PAULO,9238.27,Termo de Compromisso – Artigo 20 Lei Municipal 11.227/1992,"Termo de compromisso para a função de Instrumentista pré-profissional de Orquestra da Orquestra Experimental de Repertório, pelo período de 08 de fevereiro a 30 de junho de 2021.",07/03/21
Não Aplicável,91.0,30,0.0,7610202100001003,8,30/12/2021,,0.0,2,0.0,91.0,0.0,0.0,0.0,0.0,2021,,Fundo Municipal de Habitação,0.0,,Fundo Municipal de Habitação - COHAB,1324361.0,Nota de Empenho para Fornecimento de Serviços,RECOLHIMENTO DE PIS/COFINS SOBRE FATURAMENTO DO FMH,07/03/21
Não Aplicável,1.0,22,0.0,6024201900053222,8,30/12/2025,,0.0,3,274838.67,93.0,274838.67,0.0,1190967.57,1190967.57,2021,024/2021,Fundo Municipal de Assistência Social,0.0,,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5588386.29,Termo de Colaboração - Lei Federal 13.019/2014,CELEBRAÇÃO - SAICA - SA,07/03/21
Dispensa de Licitação,5.0,30,0.0,6310202000036855,6,21/04/2021,,0.0,3,1100.0,3.0,0.0,0.0,1100.0,1100.0,2021,,Instituto de Previdência Municipal de São Paulo,0.0,,INSTITUTO DE PREVIDÊNCIA MUNICIPAL DE SÃO PAULO,1100.0,Nota de Empenho para Fornecimento de Serviços,"Contratação de 3 (três) imobiliárias idôneas, com registro no CRECI, para a realização da avaliação do  imóvel localizado na Rua Paraguai, n.º 70, Guarujá, SP. ",07/03/21
Dispensa de Licitação,6.0,6,0.0,6410202100001305,6,21/04/2021,,0.0,3,49300.0,4.0,49300.0,0.0,49300.0,49300.0,2021,,Serviço Funerário do Município de São Paulo,0.0,,SERVIÇO FUNERÁRIO DO MUNICÍPIO DE SÃO PAULO,49300.0,Ordem de Compra,Aquisição de 17.000 (dezessete mil) máscaras de proteção descartável de uso individual com estimativa para 3 (três) meses.,07/03/21
Pregão,15.0,2,0.0,8310202000028572,12,,,0.0,3,0.0,81.0,0.0,0.0,56160.0,56160.0,2021,,Autoridade Municipal de Limpeza Urbana/Fundo Municipal Limpeza Urbana,0.0,,Autoridade Municipal de Limpeza Urbana/FMLU,64800.0,Termo de Contrato - Serviços,"Intermediar e agenciar serviços de transporte individual remunerado de passageiros via aplicativo web e mobile com apoio operacional e tratamento de dados, provedores apoio operacional e tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem da internet, provedores de conteúdo e outros serviços de informação na internet, por meio da Ata de RP nº 004/SG-COBES/2020,",07/03/21
Pregão,16.0,2,0.0,6022201900047779,12,,,0.0,3,0.0,80.0,0.0,0.0,433.15,433.15,2021,,Fundação Paulistana de Educação Tecnologia e Cultura,0.0,,FUNDAÇÃO PAULISTANA DE EDUCAÇÃO E TECNOLOGIA,511.26,Termo de Contrato - Serviços,"Contratação de empresa especializada para execução de serviços de manutenção preventiva e corretiva das instalações elétricas, condicionadores de ar, hidráulicas e civis nas dependências do imóvel que abriga SIURB, SMC, SMDET, FUNDATEC",07/03/21
Inexigibilidade,18.0,30,0.0,10012020,7,27/12/2021,,0.0,3,55118.99,9.0,29949.26,0.0,700000.0,700000.0,2021,,Câmara Municipal de São Paulo,0.0,,CÂMARA MUNICIPAL,700000.0,Nota de Empenho para Fornecimento de Serviços,Empenho Estimativo 2021,07/03/21
Dispensa de Licitação,19.0,5,0.0,128352020,6,,,0.0,3,0.0,10.0,0.0,0.0,9000.0,9000.0,2021,,Tribunal de Contas do Município de São Paulo,0.0,,TRIBUNAL DE CONTAS DO MUNICÍPIO DE SÃO PAULO,9000.0,Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente,"Contratação de empresa especializada em confecção de coroa de flores, para o ano de 2021.",07/03/21
Dispensa de Licitação,22.0,30,0.0,862021,6,05/06/2021,,0.0,3,0.0,76.0,0.0,0.0,1890.0,1890.0,2021,,Fundo Especial de Despesas da Câmara Municipal de São Paulo,0.0,,Fundo Especial de Despesas da Câmara,1890.0,Nota de Empenho para Fornecimento de Serviços,"inscrição do servidor Pedro Lisboa Bonadio - RF: 11.270 no curso ""O que muda com a nova lei de licitações? .",07/03/21
Dispensa de Licitação,23.0,30,0.0,158022020,6,,,0.0,3,0.0,77.0,0.0,0.0,6549.0,6549.0,2021,,Fundo Especial de Despesas do Tribunal de Contas ,0.0,,FUNDO ESPECIAL DE DESPESAS DO TCMSP,6549.0,Nota de Empenho para Fornecimento de Serviços,"Taxa de inscrição do servidor Paulo Ricardo Sá de Paula, RF nº 782.735, no curso “Data Analytics”, em formato online ao vivo, com 100 horas de duração.",07/03/21
Não Aplicável,29.0,6,0.0,7210202000019771,8,12/04/2021,12/01/2021,0.0,3,300.0,6.0,300.0,0.0,300.0,300.0,2021,CCO0003/2021,São Paulo Turismo,0.0,,SÃO PAULO TURISMO,300.0,Ordem de Compra,Contratação de empresa especializada em comercialização e entrega de protetor facial tipo Face Shield reutilizável e ajustável,07/03/21
Pregão,30.0,30,0.0,7810202100000608,12,31/12/2021,,0.0,3,0.0,5.0,0.0,0.0,0.0,0.0,2021,,São Paulo Urbanismo,0.0,,SÃO PAULO URBANISMO,966114.89,Nota de Empenho para Fornecimento de Serviços,Despesas de Condomínio Edificio Martinelli,07/03/21
Não Aplicável,83.0,30,0.0,7610202000030630,8,30/12/2021,,0.0,3,0.0,83.0,0.0,0.0,3000.0,3000.0,2021,,Companhia Metropolitana de Habitação de São Paulo,0.0,,COMPANHIA METROPOLITANA DE HABITAÇÃO DE SÃO PAULO,3000.0,Nota de Empenho para Fornecimento de Serviços,"para pagamento de Taxas para Emissão de certidões – Cadastro de Documentação Jurídica.
",07/03/21
Inexigibilidade,85.0,50,0.0,8510202100000260,7,29/06/2021,,0.0,3,1375.91,85.0,0.0,0.0,9238.27,9238.27,2021,,Fundação Theatro Municipal de São Paulo,0.0,,FUNDAÇÃO THEATRO MUNICIPAL DE SÃO PAULO,9238.27,Termo de Compromisso – Artigo 20 Lei Municipal 11.227/1992,"Termo de compromisso para a função de Instrumentista pré-profissional de Orquestra da Orquestra Experimental de Repertório,  pelo período de 08 de fevereiro a 30 de junho de 2021.",07/03/21
Não Aplicável,91.0,8,0.0,7610202000029801,8,30/12/2021,,0.0,3,1300000.0,91.0,1300000.0,0.0,15600000.0,15600000.0,2021,,Fundo Municipal de Habitação,0.0,,Fundo Municipal de Habitação - COHAB,15600000.0,Ordem de Execução de Serviço,"pagamento das remunerações da COHAB-SP nas fases de Regularização, Gestão, Administração, Produção e Comercialização - FMH",07/03/21
Pregão,1.0,2,0.0,6016202001105917,12,14/08/2023,,0.0,4,0.0,16.0,0.0,0.0,462706.79,527134.32,2021,446/SME/2021,Secretaria Municipal de Educação,64427.53,,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,1317835.8,Termo de Contrato - Serviços,Serviços de transportes de pessoas e/ou pequenas cargas em veículos de passeio c/motorista e combustível p/atender SME/GAB e CODAE,07/03/21
Dispensa de Licitação,4.0,5,0.0,6210202100001340,6,17/01/2022,,0.0,4,3650.0,2.0,3650.0,0.0,3650.0,9050.0,2021,,Hospital do Servidor Público Municipal,5400.0,,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,9050.01,Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente,STENT CAROTÍDEO GRADE DE 5 A 7 X 30 A 40 MM,07/03/21
Dispensa de Licitação,5.0,30,0.0,6310202000035077,6,18/01/2022,18/01/2021,0.0,4,31593.72,3.0,31593.72,0.0,150000.0,150000.0,2021,,Instituto de Previdência Municipal de São Paulo,0.0,,INSTITUTO DE PREVIDÊNCIA MUNICIPAL DE SÃO PAULO,150000.0,Nota de Empenho para Fornecimento de Serviços,Prestação de serviços de fornecimento de energia elétrica,07/03/21
Dispensa de Licitação,6.0,6,0.0,6410202100001305,6,21/04/2021,,0.0,4,0.0,4.0,0.0,0.0,0.0,0.0,2021,,Serviço Funerário do Município de São Paulo,0.0,,SERVIÇO FUNERÁRIO DO MUNICÍPIO DE SÃO PAULO,49300.0,Ordem de Compra,Aquisição de 17.000 (dezessete mil) máscaras de proteção descartável de uso individual com estimativa para 3 (três) meses.,07/03/21
Dispensa de Licitação,15.0,30,0.0,8310202000020261,6,,,0.0,4,0.0,81.0,0.0,0.0,65832.91,65832.91,2021,,Autoridade Municipal de Limpeza Urbana/Fundo Municipal Limpeza Urbana,0.0,,Autoridade Municipal de Limpeza Urbana/FMLU,74999.52,Nota de Empenho para Fornecimento de Serviços,"Contratação de empresa especializada para a PRESTAÇÃO DE SERVIÇOS DE LOCAÇÃO DE EQUIPAMENTOS DE INFORMÁTICA sendo 27 (vinte e sete) TABLETS, novos, primeiro uso, com acessórios e suporte a transmissão de dados via padrão de rede gsm (gprs/edge/4G) e Wi-fi, incluso a manutenção preventiva e corretiva dos equipamentos, com troca total de peças quando necessária.",07/03/21
Pregão,16.0,2,0.0,8110202100000630,12,,,0.0,4,0.0,80.0,0.0,0.0,14507.07,14507.07,2021,,Fundação Paulistana de Educação Tecnologia e Cultura,0.0,,FUNDAÇÃO PAULISTANA DE EDUCAÇÃO E TECNOLOGIA,18324.72,Termo de Contrato - Serviços,"(SEDE) utilização da ATA DE REGISTRO DE PREÇO nº 003/SG-COBES/2019, firmada pela Secretária Municipal de Gestão - SG e a empresa DANLEX SERVICOS LTDA CNPJ 07.503.564/0001-96, para prestação de serviços de MOTOFRETE para as unidades da FPETC, com entrega e coleta de pequenas cargas, por meio de motocicletas, prestação dos serviços será executada no território do Município de São Paulo, pelo período de 12 meses,  sob SEI 038591472 autorização do gestor da Ata em voga, perfazendo o valor global R$ 18.324,72, no valor mensal estimado de R$  1.527,06 (Valor por PVR (8,5 Km rodados) e Valor unitário do Km rodado de R$ 1,53.",07/03/21
Inexigibilidade,18.0,30,0.0,10012021,7,27/12/2021,,0.0,4,15987.84,9.0,15987.84,0.0,260000.0,260000.0,2021,,Câmara Municipal de São Paulo,0.0,,CÂMARA MUNICIPAL,260000.0,Nota de Empenho para Fornecimento de Serviços,empenho estimativo 2021.,07/03/21
Dispensa de Licitação,22.0,30,0.0,612021,6,20/09/2021,,0.0,4,0.0,76.0,0.0,0.0,1897.0,1897.0,2021,,Fundo Especial de Despesas da Câmara Municipal de São Paulo,0.0,,Fundo Especial de Despesas da Câmara,1897.0,Nota de Empenho para Fornecimento de Serviços,"Inscrição do servidor Wellington Costa da Silva RF: 11.499, no Curso ""Curso Completo de Licitações e Contratos nas Contratações Públicas"" ",07/03/21
Dispensa de Licitação,23.0,30,0.0,12692021,6,,,0.0,4,0.0,77.0,0.0,0.0,1400.0,1400.0,2021,,Fundo Especial de Despesas do Tribunal de Contas ,0.0,,FUNDO ESPECIAL DE DESPESAS DO TCMSP,1400.0,Nota de Empenho para Fornecimento de Serviços,Taxas de inscrição dos servidores no curso EAD – on line “Gestão do Conhecimento - práticas para inovação organizacional”,07/03/21
Não Aplicável,29.0,8,0.0,7210202000019780,8,12/05/2021,12/01/2021,0.0,4,20718.36,6.0,0.0,0.0,49796.76,49796.76,2021,CCO0004/2021,São Paulo Turismo,0.0,,SÃO PAULO TURISMO,49796.76,Ordem de Execução de Serviço,Contratação de serviço de bombeiro profissional civil em atendimento a diversos eventos pelo período de 04 meses,07/03/21
Pregão,30.0,7,0.0,7810202100000179,12,31/12/2021,,0.0,4,3159.79,5.0,3159.79,0.0,49766.4,49766.4,2021,2377198000,São Paulo Urbanismo,0.0,,SÃO PAULO URBANISMO,49766.4,Termo de Cooperação,Termo de Colaboração a ser prestada pelo CIEE relativa ao encaminhamento de estudantes devidamente cadastrados com a finalidade de realizarem estágios curriculares das dependências da SPUrbanismo ou em outros órgãos da Administração Municipal.,07/03/21
Não Aplicável,83.0,30,0.0,7610202100000481,8,30/12/2021,,0.0,4,506.0,83.0,506.0,0.0,562.0,562.0,2021,,Companhia Metropolitana de Habitação de São Paulo,0.0,,COMPANHIA METROPOLITANA DE HABITAÇÃO DE SÃO PAULO,562.0,Nota de Empenho para Fornecimento de Serviços,"Para pagamento anuidade 2021 do contador da COHAB
",07/03/21
Inexigibilidade,85.0,50,0.0,8510202100000278,7,29/06/2021,,0.0,4,1375.91,85.0,0.0,0.0,9238.27,9238.27,2021,,Fundação Theatro Municipal de São Paulo,0.0,,FUNDAÇÃO THEATRO MUNICIPAL DE SÃO PAULO,9238.27,Termo de Compromisso – Artigo 20 Lei Municipal 11.227/1992,"Termo de compromisso para a função de Instrumentista pré-profissional de Orquestra da Orquestra Experimental de Repertório, pelo período de 08 de fevereiro a 30 de junho de 2021.",07/03/21
Não Aplicável,91.0,30,0.0,7610202100001402,8,30/12/2021,,0.0,4,0.0,91.0,0.0,0.0,380000.0,380000.0,2021,,Fundo Municipal de Habitação,0.0,,Fundo Municipal de Habitação - COHAB,700000.0,Nota de Empenho para Fornecimento de Serviços,PAGTO DESPESAS PROCESSUAIS - EXERCICIO 2021 - FMH,07/03/21
Pregão,1.0,2,0.0,6016202001105925,12,14/08/2023,,0.0,5,0.0,16.0,0.0,0.0,704406.66,802488.6,2021,447/SME/2021,Secretaria Municipal de Educação,98081.94,,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,2006221.5,Termo de Contrato - Serviços,Serviços de transportes de pessoas e/ou pequenas cargas em veículos de passeio c/motorista e combustível p/atender 13 DREs,07/03/21
Dispensa de Licitação,4.0,5,0.0,6210202100001340,6,17/01/2022,,0.0,5,2400.0,2.0,0.0,0.0,2400.0,7400.0,2021,,Hospital do Servidor Público Municipal,5000.0,,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,7400.01,Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente,CATETER BALÃO DE 25 X 30MM,07/03/21
Inexigibilidade,5.0,30,0.0,6310202000035069,7,18/01/2022,,0.0,5,15455.47,3.0,0.0,0.0,200000.0,200000.0,2021,,Instituto de Previdência Municipal de São Paulo,0.0,,INSTITUTO DE PREVIDÊNCIA MUNICIPAL DE SÃO PAULO,200000.0,Nota de Empenho para Fornecimento de Serviços,"Prestação de serviços de fornecimento de água e tratamento de esgoto, a serem realizados pelo IPREM",07/03/21
Pregão,6.0,30,0.0,6410202000074289,12,24/02/2021,,0.0,5,0.0,4.0,0.0,0.0,33800.0,33800.0,2021,,Serviço Funerário do Município de São Paulo,0.0,,SERVIÇO FUNERÁRIO DO MUNICÍPIO DE SÃO PAULO,33800.0,Nota de Empenho para Fornecimento de Serviços,CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO E INSTALAÇÃO DE FRENTE DE CÂMARA FRIGORIFICA COM 04 (QUATRO) PORTAS DE AÇO INOXIDÁVEL NO CREMATÓRIO MUNICIPAL DR. JAYME AUGUSTO LOPES DO SERVIÇO FUNERÁRIO DO MUNICÍPIO DE SÃO PAULO – SFMSP.,07/03/21
